"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","234","should remove badge when the only item is removed","","2026-06-09","passed","2026-06-09","","Saucedemo - Cart","",""
"","936","should redirect to inventory page on successful login","","2026-06-09","passed","2026-06-09","","Login","",""
"","734","should show error message when locked out user attempts to login","","2026-06-09","passed","2026-06-09","","Login","",""
"","363","should return to the inventory list when ""Back to products"" is clicked","","2026-06-09","passed","2026-06-09","","Saucedemo - Product Detail View","",""
"","380","should show correct item count in cart page after adding multiple items","","2026-06-09","passed","2026-06-09","","Saucedemo - Cart","",""
"","270","should sort products by price high to low","","2026-06-09","passed","2026-06-09","","Saucedemo - Filter","",""
"","235","should show added item with correct name in the cart","","2026-06-09","passed","2026-06-09","","Saucedemo - Cart","",""
"","315","should navigate to checkout when checkout button is clicked","","2026-06-09","passed","2026-06-09","","Saucedemo - Cart","",""
"","306","should remove item from inside the cart page","","2026-06-09","passed","2026-06-09","","Saucedemo - Cart","",""
"","286","should sort products by price low to high","","2026-06-09","passed","2026-06-09","","Saucedemo - Filter","",""
"","314","should add the product to the cart from the detail view","","2026-06-09","passed","2026-06-09","","Saucedemo - Product Detail View","",""
"","182","big view","","2026-06-09","passed","2026-06-09","","saucedemo - bigview","",""
"","315","should increment badge count as multiple items are added","","2026-06-09","passed","2026-06-09","","Saucedemo - Cart","",""
"","253","should return to inventory when continue shopping is clicked","","2026-06-09","passed","2026-06-09","","Saucedemo - Cart","",""
"","677","should show error message when wrong password is entered","","2026-06-09","passed","2026-06-09","","Login","",""
"","205","should sort products by name A to Z","","2026-06-09","passed","2026-06-09","","Saucedemo - Filter","",""
"","211","should sort products by name Z to A","","2026-06-09","passed","2026-06-09","","Saucedemo - Filter","",""
"","250","adding cart from big view","","2026-06-09","passed","2026-06-09","","saucedemo - bigview","",""
"","386","should show error message when username field is empty","","2026-06-09","passed","2026-06-09","","Login","",""
"","183","should navigate to cart page when cart icon is clicked","","2026-06-09","passed","2026-06-09","","Saucedemo - Cart","",""
"","279","big view - back to inventory","","2026-06-09","passed","2026-06-09","","saucedemo - bigview","",""
"","406","Validate UI module of the filter","","2026-06-09","passed","2026-06-09","","Saucedemo - Filter","",""
"","410","should update badge to 1 when an item is added","","2026-06-09","passed","2026-06-09","","Saucedemo - Cart","",""
"","519","should show error message when password field is empty","","2026-06-09","passed","2026-06-09","","Login","",""
"","534","should open the product detail and show the matching description","","2026-06-09","passed","2026-06-09","","Saucedemo - Product Detail View","",""
"","10418","big view - direct access","","2026-06-09","failed","2026-06-09","","saucedemo - bigview","",""
